ID,Asteroid1.12,Asteroid2.12,Asteroid3.12,Asteroid4.12,Asteroid5.12,Treatment1.12,Treatment2.12,Treatment3.12,Treatment4.12,Treatment5.12,UncontrollableRisk1.18,UncontrollableRisk2.18,UncontrollableRisk3.18,EffortSurvival.18,ImportantSurvive.18,Wealth.12,SSES.12,Age.1,Education.1,CFC.Future.9,CFC.Immediate.9,SoPA.9,SoNA.9,LifeOrientation.10,Sex.1
342,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,90.0,40.0,45.0,70.0,10.0,-0.565649578,5.0,32.0,5,33.0,22.0,5.0,2.285714286,9.5,1.0
343,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,100.0,92.0,99.0,0.0,1.0,0.47784996,3.0,58.0,5,48.0,13.0,,4.714285714,4.0,1.0
344,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,100.0,100.0,0.0,80.0,8.0,,1.0,29.0,3,32.0,28.0,3.333333333,4.285714286,3.5,2.0
345,,,2.0,1.0,3.0,,,1.0,2.0,3.0,72.0,28.0,60.0,77.0,11.0,1.588946038,7.0,31.0,7,22.0,24.0,6.0,1.142857143,13.5,1.0
346,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,81.0,81.0,0.0,80.0,7.0,-0.165887684,6.0,70.0,3,36.0,16.0,5.333333333,1.142857143,12.0,1.0
347,,,,,,,,,,,75.0,50.0,10.0,20.0,8.0,,,61.0,6,,,,,,1.0
348,,,,,,,,,,,,,,,,,,68.0,3,,,,,,2.0
349,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,100.0,100.0,5.0,100.0,11.0,-0.405765349,5.0,67.0,3,38.0,25.0,5.833333333,3.571428571,14.5,2.0
350,,,,,,,,,,,,,,,,,,64.0,6,,,,,,2.0
351,,,,,,,,,,,,,,,,,,63.0,3,38.0,11.0,6.0,1.142857143,,1.0
352,,,,,,,,,,,,,,,,,,62.0,3,,,,,,2.0
353,,,,,,,,,,,,,,,,,,69.0,5,34.0,19.0,5.833333333,1.714285714,11.5,1.0
354,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,40.0,0.0,50.0,25.0,10.0,-1.449264888,2.0,76.0,6,38.0,26.0,5.333333333,1.285714286,13.5,2.0
355,1.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,,0.045891046,7.0,58.0,6,31.0,23.0,4.666666667,1.142857143,12.0,2.0
356,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,71.0,72.0,42.0,62.0,9.0,0.789524892,5.0,72.0,6,,12.0,5.333333333,2.142857143,6.5,2.0
357,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,79.0,54.0,53.0,39.0,9.0,1.748830267,9.0,52.0,6,42.0,15.0,4.666666667,1.0,13.5,2.0
358,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,50.0,0.0,40.0,0.0,8.0,-0.649741099,3.0,51.0,3,45.0,16.0,5.333333333,1.857142857,12.0,1.0
359,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,99.0,2.0,50.0,51.0,11.0,0.341863939,4.0,63.0,5,46.0,11.0,7.0,1.0,7.5,2.0
360,,,,,,,,,,,,,,,,,,73.0,4,,,,,,2.0
361,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,,-0.43796237,4.0,35.0,5,45.0,15.0,6.833333333,1.0,15.0,2.0
362,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,100.0,95.0,5.0,86.0,10.0,-0.673639307,7.0,75.0,6,37.0,19.0,4.333333333,2.571428571,11.5,1.0
363,2.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,,1.588946038,8.0,69.0,5,36.0,21.0,4.333333333,2.0,10.5,1.0
364,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,90.0,90.0,10.0,30.0,11.0,0.901510062,7.0,44.0,3,35.0,23.0,5.666666667,1.857142857,13.0,1.0
365,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,,,,,,-0.293574893,3.0,58.0,3,38.0,19.0,4.0,1.428571429,7.5,1.0
366,,,,,,,,,,,,,,,,,,52.0,5,,,,,,2.0
367,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,40.0,29.0,,,10.0,-1.289380659,7.0,68.0,2,23.0,36.0,5.0,1.857142857,8.5,1.0
368,,,,,,,,,,,,,,,,,,75.0,7,,,,,,1.0
369,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,91.0,92.0,11.0,19.0,10.0,1.269177579,6.0,67.0,6,,,,,9.5,2.0
370,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,94.0,60.0,50.0,71.0,10.0,0.337663211,6.0,60.0,6,48.0,11.0,7.0,1.0,14.5,2.0
371,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,,,,,,1.137289643,6.0,54.0,5,35.0,19.0,3.0,1.0,10.0,2.0
372,,,,,,,,,,,,,,,,,,69.0,5,,,,,,1.0
373,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,,,,,,0.553745311,4.0,72.0,5,33.0,23.0,1.333333333,1.142857143,6.5,1.0
374,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,100.0,40.0,80.0,10.0,6.0,-0.429560914,5.0,59.0,7,29.0,18.0,1.5,1.428571429,5.5,2.0
375,,,,,,,,,,,,,,,,,,53.0,5,,,,,,2.0
376,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,99.0,100.0,98.0,25.0,8.0,,4.0,40.0,3,,,,,,2.0
377,,,,,,,,,,,,,,,,,,27.0,6,,,,,,1.0
378,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,0.0,100.0,8.0,,6.0,54.0,5,30.0,36.0,6.0,2.714285714,11.0,1.0
379,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,100.0,75.0,75.0,80.0,11.0,-0.118193911,6.0,24.0,6,46.0,19.0,5.666666667,1.0,7.5,1.0
380,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,87.0,34.0,27.0,70.0,11.0,-0.377769057,5.0,51.0,5,35.0,21.0,5.666666667,2.714285714,,1.0
381,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,5.0,48.0,3,,,,,,2.0
382,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,99.0,62.0,3.0,54.0,11.0,-0.377769057,5.0,38.0,4,37.0,9.0,5.5,1.428571429,11.0,2.0
383,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,87.0,37.0,82.0,40.0,9.0,-0.2655786,3.0,72.0,5,34.0,19.0,5.833333333,1.857142857,9.0,1.0
384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,48.0,0.0,84.0,100.0,8.0,0.449853668,7.0,63.0,4,39.0,19.0,6.5,1.0,,2.0
385,,,,,,,,,,,,,,,,,,21.0,2,,,,,,1.0
386,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,41.0,41.0,50.0,70.0,11.0,-1.12949643,3.0,55.0,2,,,,,4.0,1.0
387,,,,,,,,,,,76.0,65.0,81.0,54.0,9.0,,,51.0,6,,,,,11.5,2.0
388,1.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,80.0,80.0,3.0,29.0,9.0,0.129982566,6.0,59.0,6,41.0,20.0,2.833333333,2.0,10.5,1.0
389,,,,,,,,,,,,,,,,,,34.0,5,,,,,,2.0
390,1.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,73.0,30.0,70.0,29.0,8.0,0.949409121,8.0,56.0,6,48.0,12.0,4.333333333,1.857142857,10.5,2.0
391,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,100.0,70.0,20.0,41.0,11.0,-0.48985687,4.0,63.0,5,,,,,13.5,1.0
392,,,,,,,,,,,,,,,,,,39.0,5,,,,,,2.0
393,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,,,7.0,56.0,4,,,,,,1.0
394,,,,,,,,,,,,,,,,,,64.0,7,,,,,,1.0
395,,,,,,,,,,,88.0,7.0,80.0,29.0,10.0,,,59.0,4,,,,,,2.0
396,,,,,,,,,,,,,,,,,,53.0,5,,,,,,1.0
397,1.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,100.0,80.0,20.0,70.0,8.0,-0.293574893,3.0,64.0,3,47.0,11.0,5.166666667,1.0,7.0,1.0
398,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,,,,,,,3.0,65.0,2,,,,,9.0,1.0
399,,,,,,,,,,,,,,,,,,60.0,4,,,,,,2.0
